value,count
Buds and fruiting,1
"buds, flowers",1
"buds, flrs",1
"buds, flrs, frts (no leaf)",1
"buds, frts",1
buds?,1
Buds.,1
bulb & flower,1
bulbils present,1
but to early flower,1
capsules & umbel,1
Clump grass.,1
Cones,1
Cones present,1
Corolla bright white,1
"Corolla mostly white or very pale purple, equipped with tiny dark purple spots; tall, robust plants, some to over 1 m high, with strongly pungent foliage",1
DAC,1
dl,1
dormant,1
early,1
Early bloom.,1
Early flower,1
early flower,1
Early fruiting,1
"early fruits, bracts",1
"early fruits, old flowers",1
Erect fruits,1
"erect, herbaceous",1
"erect, herbacious",1
erect. hebacious perennial,1
f;,1
f;p,1
F`,1
f`,1
fe,1
Fertile | Bud | Flower,1
Fertile | Flower | Bud,1
Fertile | Fruit | Bud,1
Fertile flower & stems,1
"Fertile flowers, fruit & stems",1
Fertile specimen,1
few flrs,1
fFruiting,1
Fk,1
fk,1
fkmfr,1
Fkowers,1
fL,1
FL - 1,1
fl & frt,1
fl bud,1
"fl buds, fr",1
fl fr,1
fl ft,1
fl-r,1
"FL, LEAF",1
"fl, yft",1
"fl,yfr",1
fl; fr,1
fl; ft,1
fl;ft,1
"fl., fr.",1
FL/S,1
fl&ft,1
Fllowers,1
Flor amarilla,1
Flores azules.,1
Flores y frutos,1
Flores y frutos.,1
Flores/Frutos,1
Florets brownish-purple,1
Florida,1
flow,1
Floweing,1
floweing,1
FLOWER,1
FLower,1
Flower  and stems,1
flower - immature,1
flower - just emerging,1
flower - not yet open,1
flower (albino form),1
Flower (immature),1
Flower (male),1
flower (old),1
flower & fruit & bulbil,1
flower & fruit and seeds,1
"flower & fruit, and seed",1
flower & green fruit,1
flower & immature fruit,1
flower & leaf,1
flower & leave,1
flower & pod,1
flower & rhizomes,1
flower & seds,1
flower & seed,1
flower & seed pod,1
flower + fruit,1
Flower <25%,1
"Flower <25%, Bud <25%, Fruit >75%",1
"Flower <25%, Bud >75%",1
"Flower <25%, Bud<25%, Fruit >50%",1
"Flower <25%, Fruit >75%",1
Flower | Bud | Fertile | Fruit,1
Flower | Bud | Flower,1
Flower | Immature Fruit | Flower,1
"Flower 15%, Bud 30%, Fruit 55%",1
"Flower 20%, Bud 80%",1
"Flower 25%, Bud 50%, Fruit 25%",1
"Flower 30%, Bud 15%, Fruit 55%",1
"Flower 30%, Bud 70%",1
"Flower 40%, Bud 60%",1
"Flower 50% , Fruit 50%",1
"Flower 50%, Bud 25%, Bud 25%",1
"Flower 50%, Bud 25%, Fruit 25%",1
"Flower 50%, Bud and Fruit 50%",1
"Flower 50%, Fruit 25%, Bud 25%",1
"Flower 66%, Bud 33%",1
"Flower 75%, bud 25%",1
"Flower 75%, Fruit 25%`",1
Flower and Bud,1
flower and Fruit,1
Flower and Fruits,1
flower and immature fruit,1
flower and old fruit,1
Flower and/or fruit,1
Flower bud,1
flower bud,1
Flower or fruiting,1
Flower with seeds,1
"Flower, beginning fruit",1
"flower, capsules & seeds",1
"flower, dehisced fruit",1
"flower, fruit & stem",1
"flower, fruit, seeds",1
"flower, fruits & spines",1
"flower, immature fruit",1
"flower, seed & stem",1
"flower, seeds & debric",1
"flower, vegetative",1
Flower; Fruit,1
Flower: N Vegetation: Y Bud: Y,1
flower?,1
flower.,1
Flower. Immature fruit.,1
flower/early fruit,1
Flower/fruit (developing),1
Flower/fruit.,1
Flower`,1
Flowera,1
flowerin,1
FLowering,1
flowering ?,1
flowering (bud),1
Flowering (Female plants),1
Flowering (Female plants0,1
Flowering (male plants),1
Flowering [according to label],1
Flowering [male],1
Flowering & early Fruiting,1
Flowering + fruit,1
Flowering and buds,1
flowering and early fruiting,1
Flowering and Fruit,1
flowering and in fruit,1
Flowering and seeding,1
Flowering and with immature fruit.,1
Flowering of Fruiting,1
flowering-budding,1
"Flowering, Budding",1
"flowering, immature fruit",1
"Flowering, just beginning to fruit",1
"Flowering, Male and Female flowers present",1
"Flowering,fruiting",1
Flowering;In bud,1
flowering: mostly open flowers (>1/2 open),1
flowering/ early fruiting,1
flowering/early fruiting,1
Flowering& Fruiting.,1
Flowering`,1
floweringa,1
Floweringto fruiting,1
Flowerint,1
Flowerring,1
flowerrs,1
flowers - immature,1
Flowers (buds),1
flowers (old),1
flowers (spent) & fruit (immature),1
"flowers (spent), fruits",1
flowers (staminate),1
flowers [catkins],1
flowers [photos],1
flowers & bulbs,1
flowers & frui,1
flowers & fruit & seeds,1
flowers & fruit & spines,1
Flowers & fruit.,1
flowers & old fruit,1
flowers & seed,1
flowers and  fruit,1
flowers and bulbils,1
flowers and capsules,1
Flowers and fruits.,1
Flowers and sterile fruit.,1
Flowers are yellow.,1
flowers both staminate and pistillate s,1
flowers corolla carmine,1
Flowers orange,1
flowers rays lavender,1
flowers rays purple,1
flowers yellow,1
Flowers yellowish-white,1
"Flowers, Buds",1
"Flowers, fading",1
"flowers, fruit & bulbils",1
"flowers, fruit & joints",1
"flowers, fruit & leave",1
"flowers, fruit & stem",1
"flowers, fruit, leaves & seeds",1
"flowers, leaves",1
"flowers, leaves & root",1
"flowers, seed & stems",1
"Flowers, seed.",1
"flowers, seeds",1
"flowers, sterile",1
"Flowers, white with yellow tips",1
flowers.,1
Flowers/fruit,1
flowers/seeds,1
flowerss,1
Flowre,1
Flowring & Fruiting,1
Flowwering,1
Flr & Bulblets,1
flr & frt,1
Flr & Frt(?),1
Flr & Frt],1
Flr & NLFrt,1
Flr & Veg,1
Flr Flr,1
Flr/frt,1
Flr& Frt,1
FLRS,1
Flrs.,1
flruiting,1
Fls,1
"flw, fr",1
"flw, frt",1
Flwoering,1
"Flwoering, immature",1
Flwoers,1
Flwr and Frt,1
follicles mature and dehisced on most plants,1
"FR, FL",1
"fr,st",1
frs-fl,1
Frt and Flr,1
"frt, bulbils",1
"frts, buda",1
"frts, flrs",1
fruf,1
Frui,1
fruit (acorns),1
fruit (cones),1
Fruit (immature),1
fruit (immature),1
fruit (old),1
fruit (spent) & leaves,1
fruit & flowers,1
fruit & green,1
Fruit & Seed,1
fruit & spine,1
fruit & stamen,1
Fruit | Bud | Flower,1
Fruit | Fertile | Flower,1
Fruit | Flower | Immature Fruit,1
Fruit and buds,1
Fruit and flower.,1
fruit and flowers,1
Fruit deciduous; buds,1
Fruit or flower,1
Fruit red,1
"fruit, flower",1
"fruit, flower, vegatiation",1
"fruit, leaves & seed",1
"fruit, past prime.",1
"fruit, seeds & stems",1
"fruit, vegetation",1
"fruit, vegetative",1
Fruit/flower,1
fruiting (imm. fruit),1
fruiting (last year's),1
Fruiting abundantly,1
Fruiting and dispersin,1
"Fruiting, Dispersal",1
"fruiting, seeding",1
"Fruiting, seeds dropped.",1
fruiting/late flower,1
Fruitr,1
fruits (spent),1
fruits [photos],1
Fruits and Flowers,1
fruits dull,1
fruits glossy,1
Frutis,1
fs,1
ft;fl,1
ft/fl,1
Full bloom with few just beginning to set fruit.,1
Full Bloom.,1
Furits,1
fw,1
g,1
germinating seeds,1
gl,1
gltd,1
i,1
iamge,1
image of frts,1
images inf lr,1
imm. ft,1
imm. ft.,1
Immature fruiting,1
immature seeds,1
"immature, near anthesis",1
In bloom and fruit,1
in bloom; fruit bearing,1
in bloom?,1
in bud July 27,1
In bud.,1
In flower.,1
In flower/fruit,1
in frit,1
"in fruit June 21, 1958; in flower May 21, 1959",1
in fruits,1
in mature fruit,1
in young leaf,1
infl past fruiting,1
inflorescence,1
JFlr & Frt,1
jFlr & Frt,1
Just flowering,1
just flowering,1
just Fruiting,1
Just past full bloom.,1
L,1
L:eaf and flowers,1
last year's infructescence,1
Last yr. heads,1
Late (open capsule) fruit,1
late flower,1
Late fruit,1
Late fruiting,1
LEAF & FL,1
leaf frags,1
leaf portion,1
"LEAF, FL",1
"Leaf, flowers, leaf & seeds",1
leaves & seed,1
Leavesa nd fruit,1
leavesw,1
lfrs,1
LIN,1
"low, erect, herbaceouss perennial",1
lowers and fruit,1
Mid-flower.,1
Most fruits dispersed,1
NL,1
no fruits seen here,1
Not flowering,1
old flrs,1
"old flrs, frts",1
old frts,1
"old infl, bulbil",1
"old infl, bulbils",1
"old infl, leaf",1
old infl.,1
other notes: a few abies concolor here-more above.,1
Ovaries abortive,1
Oxf,1
panicle,1
Pappus white,1
past,1
past anthesis,1
past fl,1
past flowering,1
peduncles,1
"Perennial, 20cm tall, sticky stems. Common along trail.",1
Phenology,1
Phenology: Fruit.,1
photo only,1
Pink flowers,1
"Pink flowers, fruits",1
pistillate,1
"Pistillate, fruit",1
Plant in full flower,1
Plants mostly in fruit,1
pod & seed,1
pod legumes,1
Post flowering,1
post-disarticulation inflorescence,1
Post-Flr,1
post-frt,1
Post-fruiting,1
pr-anthesis,1
pre-flowering,1
"pre-leaf, pre-flower",1
preflowering,1
Pretty well past blooming at this date,1
"Rays white, disk yellow",1
red fruits,1
Red to pink flowers,1
remnants and buds,1
roots,1
"Roots, stems, heads",1
"Roots, stems, leaves, flowers, fruit",1
Rosacea,1
rosette,1
