name,is_valid,valid_name,synonym_optional
Euphroniaceae,N,Chrysobalanaceae,Y
Eupomatiaceae,Y,,
Eupteleaceae,Y,,
Euryalaceae,N,Nymphaeaceae,
Eustrephaceae,N,Laxmanniaceae,
Eustrephaceae,N,Asparagaceae,Y
Exbucklandiaceae,N,Hamamelidaceae,
Exocarpaceae,N,Santalaceae,
Fabaceae,Y,,
Fagaceae,Y,,
Flacourtiaceae,N,Salicaceae,
Flagellariaceae,Y,,
Flindersiaceae,N,Rutaceae,
Foetidiaceae,N,Lecythidaceae,
Fouquieriaceae,Y,,
Francoaceae,N,Melianthaceae,Y
Frangulaceae,N,Rhamnaceae,
Frankeniaceae,Y,,
Fumariaceae,N,Papaveraceae,Y
Garryaceae,Y,,
Geissolomataceae,Y,,
Geitonoplesiaceae,N,Hemerocallidaceae,
Geitonoplesiaceae,N,Xanthorrhoeaceae,Y
Gelsemiaceae,Y,,
Geniostomaceae,N,Loganiaceae,
Gentianaceae,Y,,
Geosiridaceae,N,Iridaceae,
Geraniaceae,Y,,
Gesneriaceae,Y,,
Gisekiaceae,Y,,
Glaucidiaceae,N,Ranunculaceae,
Globulariaceae,N,Plantaginaceae,
Goetzeaceae,N,Solanaceae,
Gomortegaceae,Y,,
Gonystylaceae,N,Thymelaeaceae,
Goodeniaceae,Y,,
Goupiaceae,Y,,
Gramineae,N,Poaceae,
Greyiaceae,N,Melianthaceae,
Griseliniaceae,Y,,
Gronoviaceae,N,Loasaceae,
Grossulariaceae,Y,,
Grubbiaceae,Y,,
Gunneraceae,Y,,
Gustaviaceae,N,Lecythidaceae,
Guttiferae,N,Clusiaceae,
Gyrocarpaceae,N,Hernandiaceae,
Gyrostemonaceae,Y,,
Hachetteaceae,N,Balanophoraceae,
Haemodoraceae,Y,,
Halesiaceae,N,Styracaceae,
Halophilaceae,N,Hydrocharitaceae,
Halophytaceae,Y,,
Haloragaceae,Y,,
Hamamelidaceae,Y,,
Hanguanaceae,Y,,
Hectorellaceae,N,Portulacaceae,
Heliamphoraceae,N,Sarraceniaceae,
Heliconiaceae,Y,,
Heliotropiaceae,N,Boraginaceae,
Helleboraceae,N,Ranunculaceae,
Heloniadaceae,N,Melanthiaceae,
Helosaceae,N,Balanophoraceae,
Helwingiaceae,Y,,
Hemerocallidaceae,N,Xanthorrhoeaceae,Y
Hemimeridaceae,N,Plantaginaceae,
Henriqueziaceae,N,Rubiaceae,
Hernandiaceae,Y,,
Herreriaceae,N,Agavaceae,
Herreriaceae,N,Asparagaceae,Y
Hesperocallidaceae,N,Asparagaceae,Y
Heteropyxidaceae,Y,,
Himantandraceae,Y,,
Hippocastanaceae,N,Sapindaceae,
Hippocrateaceae,N,Celastraceae,
Hippuridaceae,N,Plantaginaceae,
Hopkinsiaceae,N,Anarthriaceae,
Hoplestigmataceae,Y,,
Hortoniaceae,N,Monimiaceae,
Hostaceae,N,Agavaceae,
Hostaceae,N,Asparagaceae,Y
Huaceae,Y,,
Huerteaceae,N,Tapisciaceae,
Hugoniaceae,N,Linaceae,
Humbertiaceae,N,Convolvulaceae,
Humiriaceae,Y,,
Hyacinthaceae,N,Asparagaceae,Y
Hydatellaceae,Y,,
Hydnoraceae,Y,,
Hydrangeaceae,Y,,
Hydrastidaceae,N,Ranunculaceae,
Hydrocharitaceae,Y,,
Hydrocotylaceae,N,Araliaceae,
Hydroleaceae,Y,,
Hydropeltidaceae,N,Nymphaeaceae,
Hydrophyllaceae,N,Boraginaceae,
Hydrostachyaceae,Y,,
Hymenocardiaceae,N,Phyllanthaceae,
Hypecoaceae,N,Papaveraceae,
Hypericaceae,Y,,
Hypoxidaceae,Y,,
Hypseocharitaceae,N,Geraniaceae,Y
Icacinaceae,Y,,
Idiospermaceae,N,Calycanthaceae,
Illecebraceae,N,Caryophyllaceae,
Illiciaceae,N,Schisandraceae,Y
Iridaceae,Y,,
Irvingiaceae,Y,,
Isophysidaceae,N,Iridaceae,
Iteaceae,Y,,
Ixerbaceae,Y,,
Ixioliriaceae,Y,,
Ixonanthaceae,Y,,
Japonoliriaceae,N,Petrosaviaceae,
Johnsoniaceae,N,Hemerocallidaceae,
Johnsoniaceae,N,Xanthorrhoeaceae,Y
Joinvilleaceae,Y,,
Juglandaceae,Y,,
Julianiaceae,N,Anacardiaceae,
Juncaceae,Y,,
Juncaginaceae,Y,,
Justiciaceae,N,Acanthaceae,
Kaliphoraceae,N,Montiniaceae,
Kiggelariaceae,N,Achariaceae,
Kingdoniaceae,N,Circaeasteraceae,Y
Kirengeshomaceae,N,Hydrangeaceae,
Kirkiaceae,Y,,
Koeberliniaceae,Y,,
Krameriaceae,N,Zygophyllaceae,Y
Labiatae,N,Lamiaceae,
Lacandoniaceae,N,Triuridaceae,
Lacistemataceae,Y,,
Lactoridaceae,Y,,
Lamiaceae,Y,,
Lanariaceae,Y,,
Langsdorffiaceae,N,Balanophoraceae,
Lardizabalaceae,Y,,
Lauraceae,Y,,
Laxmanniaceae,N,Asparagaceae,Y
Lecythidaceae,Y,,
Ledocarpaceae,Y,,
Leeaceae,N,Vitaceae,
Leguminosae,N,Fabaceae,
Leitneriaceae,N,Simaroubaceae,
Lemnaceae,N,Araceae,
Lennoaceae,N,Boraginaceae,
Lentibulariaceae,Y,,
Leoniaceae,N,Violaceae,
Leonticaceae,N,Berberidaceae,
Lepidobotryaceae,Y,,
Lepuropetalaceae,N,Parnassiaceae,Y
Lilaeaceae,N,Juncaginaceae,
Liliaceae,Y,,
Limnanthaceae,Y,,
Limnocharitaceae,Y,,
Limoniaceae,N,Plumbaginaceae,
Linaceae,Y,,
Lindenbergiaceae,N,Orobanchaceae,
Linnaeaceae,N,Caprifoliaceae,Y
Liriodendraceae,N,Magnoliaceae,
Lissocarpaceae,N,Ebenaceae,
Loasaceae,Y,,
Lobeliaceae,N,Campanulaceae,Y
Loganiaceae,Y,,
Lomandraceae,N,Laxmanniaceae,
Lomandraceae,N,Asparagaceae,Y
Lophiolaceae,N,Nartheciaceae,
Lophiraceae,N,Ochnaceae,
Lophophytaceae,N,Balanophoraceae,
Lophopyxidaceae,Y,,
Loranthaceae,Y,,
Lowiaceae,Y,,
Luxemburgiaceae,N,Ochnaceae,
Luzuriagaceae,Y,,
Lyginiaceae,N,Anarthriaceae,
Lythraceae,Y,,
Mackinlayaceae,Y,,
Maesaceae,Y,,
Magnoliaceae,Y,,
Malaceae,N,Rosaceae,
Malesherbiaceae,N,Passifloraceae,Y
Malpighiaceae,Y,,
Malvaceae,Y,,
Marantaceae,Y,,
Marcgraviaceae,Y,,
Martyniaceae,Y,,
Mastixiaceae,N,Cornaceae,
Maundiaceae,N,Juncaginaceae,
Mayacaceae,Y,,
Medeolaceae,N,Liliaceae,
Medusagynaceae,N,Ochnaceae,Y
Medusandraceae,Y,,
Melanophyllaceae,Y,,
Melanthiaceae,Y,,
Melastomataceae,Y,,
Meliaceae,Y,,
Melianthaceae,Y,,
Meliosmaceae,N,Sabiaceae,
Memecylaceae,N,Melastomataceae,Y
Mendonciaceae,N,Acanthaceae,
Menispermaceae,Y,,
Menyanthaceae,Y,,
Mesembryanthemaceae,N,Aizoaceae,
Metteniusaceae,Y,,
Meyeniaceae,N,Acanthaceae,
Milulaceae,N,Alliaceae,
Mimosaceae,N,Fabaceae,
Misodendraceae,Y,,
Mitrastemonaceae,Y,,
Molluginaceae,Y,,
Monimiaceae,Y,,
